Site Type,Available
CLB LUTs,78K
LUT as Logic,78K
LUT as Memory,32K
CLB Registers,156K
Register as Flip Flop,156K
Register as Latch,156K
CARRY8,9K
F7 Muxes,39K
F8 Muxes,19K
F9 Muxes,9K
CLB,9K
CLBL,5K
CLBM,4K
Unique Control Sets,19K
Block RAM Tile,108
RAMB36/FIFO,108
RAMB18,216
URAM,48
DSPs,576
Bonded IOB,104
HPIOB_M,48
HPIOB_S,48
HPIOB_SNGL,8
HPIOBDIFFINBUF,72
HPIOBDIFFOUTBUF,72
BITSLICE_CONTROL,24
BITSLICE_RX_TX,156
BITSLICE_TX,24
RIU_OR,12
GLOBAL CLOCK BUFFERs,180
BUFGCE,72
BUFGCE_DIV,12
BUFG_GT,72
BUFGCTRL*,24
PLL,6
MMCM,3
GTHE4_CHANNEL,12
GTHE4_COMMON,3
OBUFDS_GTE4,6
OBUFDS_GTE4_ADV,6
PCIE40E4,2